NAME,ZIP,TEL,LON,LAT
"RITE AID OF NEW YORK, INC.",11374,212-791-5795,-73.86273182,40.7294619
"FORTUNE HUT, INC.",11416,7188453445,-73.86125821,40.67993628
"9TH AVE. ROYAL DELI, INC.",10019,2127656475,-73.98706165,40.76608932
"721 GOURMET FARM, INC.",10017,6462074613,-73.97296627,40.7527831
"PATEL, BHIKHUBKAI P.",10003,7183434317,-73.99032932,40.73713256
OXFORD DELI GROCERY INC,10029,9174424992,-73.94055847,40.78896582
OMSAI GROCERY INC.,11418,5162213527,-73.81671049,40.70213682
DUANE READE,11201,718-386-6692,-73.99096324,40.69259063
"HIGH RIDGE NEWS, LLC",10463,7185487412,-73.90069848,40.88498681
"ZAPOLSKI, RICHARD & ZAPOLSKI, DIANE",11378,7188949417,-73.90875031,40.72314521
"JAFRI, SYED",11214,7183728589,-73.98776395,40.59825759
MAYPOLE NYC CORP,11432,7182002069,-73.7832212,40.71280244
103 DELI RESTAURANT INC.,11369,9148307211,-73.86582315,40.75851327
"MEAL TICKET FOODS, INC.",11228,718-236-6890,-74.00251061,40.61815249
"D & R GROCERY, INC.",11228,7187455260,-74.01973668,40.62207313
A1 DISCOUNT GROCERY INC.,11223,3472253070,-73.96982189,40.59492484
EDWIN FOOD CORP.,10026,3477969572,-73.94926222,40.79767352
SHREE SAI FOOD MART INC.,11375,718-459-4809,-73.84871693,40.72363917
LAI FU 88 GROCERY INC,11214,347-429-5777,-73.9993158,40.59989963
DYLAN SUPER BODEGUITA DELI GROCERY CORP,10452,7187150860,-73.92730005,40.83659012
"MANAPO GROCERY, INC.",11210,718-859-9710,-73.93798297,40.63459905
M & A SMOKE SHOP CORP,11368,3475530501,-73.86922728,40.74918778
PRAMUKH DELI & GROCERY INC.,10011,2129247249,-74.00188747,40.74573774
Z MART INC,11218,7184360232,-73.96795842,40.63633503
PRAYOSHA 3192 INC.,11106,3472422996,-73.93159068,40.76534238
"BEGUM NEWSSTAND, INC.",10007,2127662896,-74.00821696,40.71186992
