NAME,TEL,URL,ADRESS1,RATE,SPECIAL,LONG,LAT
Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,,-74.0137558,40.70381622
Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,,-74.06303179,40.61512084
American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,,,-73.94729769,40.8338535
American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,,-73.97810302,40.76162497
American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,,-74.03968484,40.69905626
American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,,-73.97364816,40.78082623
American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St,,,-74.00701188,40.72352659
Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,,,-73.96597045,40.76882423
Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,,,-73.99963037,40.72112745
Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,,,-73.96428396,40.76983378
Audubon Terrace,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,,,-73.9465459,40.83358228
Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,,,-73.8055795,40.87177832
Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,,,-73.82489046,40.76288633
Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,,,-73.87974874,40.87823644
Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,,-73.91975018,40.83102978
Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,,-73.94401601,40.674507
Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,,-73.9924054,40.69480297
Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,,-73.96358507,40.67108321
Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,,,-74.00731553,40.7478976
Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,,-73.97727392,40.78587092
Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,,-73.99883836,40.72074947
Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,,-73.93173409,40.86492364
