"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"1","03/31/2018","market","PARADISE FRUITS INC.","","4712","13TH AVE","","BROOKLYN",11219,"718-438-8236","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.9911006,40.63601801
"2","03/31/2018","market","NEW YORK MARLYN GIFTS CORPORATION","","5914","5TH AVE","","BROOKLYN",11220,"7187651041","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01572078,40.63992586
"4","03/31/2018","market","NEW FAMILY MINI MARKET CORP.","WUNDERLI HOME IMPROVEMENT","244","RIDGEWOOD AVE","","BROOKLYN",11208,"718-277-0038","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87943684,40.68373358
"5","03/31/2018","market","ITTADI INC.","","3208","31ST ST","","ASTORIA",11106,"7187775713","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.92568167,40.76161959
"9","03/31/2018","market","ALMANZAR, FRANKLIN","JAZMIN FLORIST","1286","SAINT NICHOLAS AVE","","NEW YORK",10033,"2129284940","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93683982,40.84505219
"11","03/31/2018","market","FMDDS INC","","224","BRIGHTON BEACH AVE","","BROOKLYN",11235,"718-332-9037","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.96621239,40.57657484
"16","03/31/2018","market","A & B FULTON CORP.","","7","OLD FULTON ST","","BROOKLYN",11201,"7187970007","Brooklyn","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99409599,40.70277941
"28","03/31/2018","market","FLORAL EXPLOSION INC.","BUCK HOUSE","10105","120TH ST","","SOUTH RICHMOND HILL",11419,"7184411140","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82480323,40.68994616
"41","03/31/2018","market","SHABA DELI & GROCERY CORP","BISTRO CITRON","2387","STILLWELL AVE","","BROOKLYN",11223,"347-245-2294","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98383028,40.58925417
"45","03/31/2018","market","PHOENIX WEDDING CORP.","SMITH STREET GROCERY & CONVENIENCE","9022","ROOSEVELT AVE","","JACKSON HEIGHTS",11372,"7186517830","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8757611,40.74848412
