12/31/2017,Retail Dealer,"RITE AID OF NEW YORK, INC.",RITE AID STORE #4866,9514,63RD DR,,REGO PARK,11374,212-791-5795,Queens,,-73.86273182,40.7294619
03/31/2018,market,PARADISE FRUITS INC.,,4712,13TH AVE,,BROOKLYN,11219,718-438-8236,Brooklyn,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.9911006,40.63601801
03/31/2018,market,NEW YORK MARLYN GIFTS CORPORATION,,5914,5TH AVE,,BROOKLYN,11220,7187651041,Brooklyn,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01572078,40.63992586
12/31/2017,Retail Dealer,"FORTUNE HUT, INC.",,7611,101ST AVE,,OZONE PARK,11416,7188453445,Queens,,-73.86125821,40.67993628
03/31/2018,market,NEW FAMILY MINI MARKET CORP.,WUNDERLI HOME IMPROVEMENT,244,RIDGEWOOD AVE,,BROOKLYN,11208,718-277-0038,Brooklyn,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87943684,40.68373358
03/31/2018,market,ITTADI INC.,,3208,31ST ST,,ASTORIA,11106,7187775713,Queens,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.92568167,40.76161959
12/31/2018,Retail Dealer,"9TH AVE. ROYAL DELI, INC.",,817,9TH AVE,,NEW YORK,10019,2127656475,Manhattan,,-73.98706165,40.76608932
12/31/2018,Retail Dealer,"721 GOURMET FARM, INC.",IRIS TAKEAWAY,721,3RD AVE,,NEW YORK,10017,6462074613,Manhattan,,-73.97296627,40.7527831
12/31/2018,Retail Dealer,"PATEL, BHIKHUBKAI P.",BHIKHU NEWS,980,BROADWAY,EAST   17 STREET,NEW YORK,10003,7183434317,Manhattan,,-73.99032932,40.73713256
03/31/2018,market,"ALMANZAR, FRANKLIN",JAZMIN FLORIST,1286,SAINT NICHOLAS AVE,,NEW YORK,10033,2129284940,Manhattan,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93683982,40.84505219
12/31/2018,Retail Dealer,OXFORD DELI GROCERY INC,,2035,1ST AVE,,NEW YORK,10029,9174424992,Manhattan,,-73.94055847,40.78896582
03/31/2018,market,FMDDS INC,,224,BRIGHTON BEACH AVE,,BROOKLYN,11235,718-332-9037,Brooklyn,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.96621239,40.57657484
12/31/2017,Retail Dealer,OMSAI GROCERY INC.,NANKING GOURMET DELI,8820,VAN WYCK EXPY,,RICHMOND HILL,11418,5162213527,Queens,,-73.81671049,40.70213682
12/31/2017,Retail Dealer,DUANE READE,,44,COURT ST,,BROOKLYN,11201,718-386-6692,Brooklyn,,-73.99096324,40.69259063
12/31/2017,Retail Dealer,"HIGH RIDGE NEWS, LLC",,5818,BROADWAY,,BRONX,10463,7185487412,Bronx,,-73.90069848,40.88498681
12/31/2017,Retail Dealer,"ZAPOLSKI, RICHARD & ZAPOLSKI, DIANE",A & R MARKETS,5894,MASPETH AVE,,MASPETH,11378,7188949417,Queens,,-73.90875031,40.72314521
03/31/2018,market,A & B FULTON CORP.,,7,OLD FULTON ST,,BROOKLYN,11201,7187970007,Brooklyn,"Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99409599,40.70277941
12/31/2017,Retail Dealer,"JAFRI, SYED",LUCKY NEWS STAND & LOTTO,2472,86TH ST,,BROOKLYN,11214,7183728589,Brooklyn,,-73.98776395,40.59825759
12/31/2017,Retail Dealer,MAYPOLE NYC CORP,MAYPOLE NYC CORP,17945,HILLSIDE AVE,,JAMAICA,11432,7182002069,Queens,,-73.7832212,40.71280244
12/31/2017,Retail Dealer,103 DELI RESTAURANT INC.,JIM LEE CLEANERS,3253,103RD ST,,EAST ELMHURST,11369,9148307211,Queens,,-73.86582315,40.75851327
12/31/2018,Retail Dealer,"MEAL TICKET FOODS, INC.",T-MOBILE,7402,15TH AVE,,BROOKLYN,11228,718-236-6890,Brooklyn,,-74.00251061,40.61815249
12/31/2017,Retail Dealer,"D & R GROCERY, INC.",,8101,7TH AVE,,BROOKLYN,11228,7187455260,Brooklyn,,-74.01973668,40.62207313
